Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Energy_per_min,SOC_delta (%),Energy_per_min (kW),Vehicle Model_BMW i3,Vehicle Model_Chevy Bolt,Vehicle Model_Hyundai Kona,Vehicle Model_Nissan Leaf,Vehicle Model_Tesla Model 3,Charger Type_DC Fast Charger,Charger Type_Level 1,Charger Type_Level 2,User Type_Casual Driver,User Type_Commuter,User Type_Long-Distance Traveler
108.46300741284072,60.71234573492677,0.5913634253585007,36.3891805669814,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,1.711083887715953,56.748386465438344,1.711083887715953,True,False,False,False,False,True,False,False,False,True,False
100.0,12.339275203733752,3.133652052688084,30.67773493971444,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,0.06562776698596225,74.5485659861845,0.06562776698596225,False,False,True,False,False,False,True,False,True,False,False
75.0,19.12887570011548,2.4526527258367823,27.51359255877324,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,0.1299876626003599,63.063010795764264,0.1299876626003599,False,True,False,False,False,False,False,True,False,True,False
50.0,19.62910416772725,2.0197650865894614,10.215712071204608,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,0.16197514171373759,9.484836344999884,0.16197514171373759,False,False,True,False,False,False,True,False,False,False,True
85.0,36.862139988267536,3.5396190263161467,26.18518786003352,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,0.17356924438386878,10.044316141704726,0.17356924438386878,False,True,False,False,False,False,False,True,False,True,False
75.0,51.46761685839947,2.6553964456130235,26.7029077655282,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,0.32303787094534125,7.585112298781162,0.32303787094534125,False,True,False,False,False,False,False,True,False,False,True
62.0,43.59237228216989,1.724203599132774,14.294922926661108,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,0.4213768828702097,59.4952206403283,0.4213768828702097,False,True,False,False,False,False,True,False,False,True,False
50.0,18.20619747737872,2.6486354477276968,10.310701112892176,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,0.11456337824191752,6.179016056392541,0.11456337824191752,True,False,False,False,False,True,False,False,True,False,False
85.0,22.564929484106763,2.0578886215204486,4.46482262892762,14.618902372078484,85.85749415419053,194.76380668173772,34.26261127319235,0.0,0.1827514638720252,71.23859178211205,0.1827514638720252,False,True,False,False,False,True,False,False,False,False,True
100.0,34.256452908516025,3.0655847520228034,5.523688619042968,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,0.1862420803834796,32.42103577952664,0.1862420803834796,False,False,True,False,False,False,False,True,True,False,False
